W/o modifications,DCT denoise stretch 5,DCT denoise stretch 10,Blurring,Sharping,Scaling to 3/4,Cropping to 3/4,JPEG Transcoding q=1,JPEG Transcoding q=25,JPEG Transcoding q=45
0.021134594,0,0,0.0030898529,0.0535162526,0.0039550117,0.027437894,0,0,0
0.0912124583,0,0,0.0192806822,0.2060313929,0.017921147,0.1122234582,0,0,0
0.1420096403,0,0,0.032752441,0.2983561982,0.0266963293,0.1625262637,0.0001235941,0,0
0.3935236683,0.0007415647,0,0.1212458287,0.6442961315,0.0804597701,0.4098380917,0.0013595353,0,0
0.7419354839,0.0043257941,0,0.345692745,0.9197874181,0.2204919046,0.7316771722,0.0123594117,0,0
0.9736744531,0.0265727351,0.0007415647,0.7797552836,0.9943146706,0.5574094673,0.9642813002,0.0957854406,0,0
0.986281053,0.0410332468,0.0022246941,0.8659003831,0.9978989,0.6664194784,0.9825732295,0.1610431343,0,0
0.9974045235,0.0882461995,0.0069212705,0.9668767767,0.9991348412,0.8494623656,0.9969101471,0.4797923619,0,0
0.9985168706,0.1392905698,0.0155728587,0.9873934001,0.9996292176,0.9263379063,0.9983932765,0.7406995427,0,0
0.9993820294,0.2080088988,0.0331232233,0.9964157706,0.9996292176,0.9713261649,0.9993820294,0.9290569769,0,0
0.9996292176,0.2834013101,0.0540106291,0.9982696824,0.9998764059,0.9859102707,1,0.9844271413,0,0
0.9996292176,0.3460635274,0.0748980349,0.9988876529,1,0.9929551353,1,0.9949326412,0.0002471882,0
0.9998764059,0.4307254975,0.1086392288,0.9993820294,1,0.9969101471,1,0.9980224941,0.0003707824,0
1,0.5525892967,0.1726609813,0.9996292176,1,0.9991348412,1,0.9993820294,0.0008651588,0
1,0.6692621431,0.2457051044,1,1,0.9993820294,1,0.9998764059,0.0034606353,0
1,0.7613397602,0.3274008157,1,1,0.9996292176,1,1,0.0085279941,0
1,0.8336423186,0.402793227,1,1,0.9998764059,1,1,0.0140897293,0
1,0.9318996416,0.5356569027,1,1,1,1,1,0.0399208998,0.0003707824
1,0.9829440119,0.6525769373,1,1,1,1,1,0.0772463231,0.0018539118
1,0.9991348412,0.7931034483,1,1,1,1,1,0.1544926462,0.0070448647
1,1,0.8834507477,1,1,1,1,1,0.2583117044,0.0212581881
1,1,0.9317760475,1,1,1,1,1,0.337164751,0.0358422939
1,1,0.9650228649,1,1,1,1,1,0.4156470152,0.0552465703
1,1,0.9912248177,1,1,1,1,1,0.5257693734,0.0973921641
1,1,0.9982696824,1,1,1,1,1,0.6339142257,0.1525151403
1,1,0.9997528118,1,1,1,1,1,0.7725868249,0.2756148807
1,1,1,1,1,1,1,1,0.8757879125,0.4065010505
1,1,1,1,1,1,1,1,0.9398096651,0.545420838
1,1,1,1,1,1,1,1,0.9745396119,0.6690149549
1,1,1,1,1,1,1,1,0.9954270177,0.8304288716
