W/o modifications,DCT denoise stretch 5,DCT denoise stretch 10,Blurring,Sharping,JPEG Transcoding q=1,JPEG Transcoding q=25,JPEG Transcoding q=45
54.7165986899,42.6805092078,38.3019404276,43.1313805463,43.0709430231,49.9978989,30.3676924978,28.4932641206
53.2789519219,42.7021381782,38.3138054629,43.1118526758,43.0069212705,49.659621802,30.3648498331,28.491533803
52.7518230132,42.7094302311,38.3182548511,43.0936843406,42.9802249413,49.4219503152,30.361512792,28.4884439501
50.9996292176,42.6947225312,38.3141762452,42.9911012236,42.7795080954,48.8819676183,30.3538499567,28.4844889383
49.767395872,42.6309479669,38.2956371277,42.8058336423,42.4896798912,48.1355827463,30.3454455568,28.4764553207
47.0233592881,42.3870967742,38.2081324929,42.318131257,41.8268446422,46.5503646026,30.3166481275,28.457669015
46.0772463231,42.2398961809,38.1525151403,42.0836732172,41.5372636263,45.9018662712,30.3009516747,28.4456803856
44.9998764059,41.9160795946,38.0192806822,41.5847237671,40.9390681004,44.6959584724,30.2656037573,28.4230626622
43.9761463354,41.5587690026,37.8698553949,41.1003584229,40.4140402917,43.6903967371,30.2275367692,28.3989618094
42.9081695711,41.1444815227,37.6941045606,40.5569150908,39.8138672599,42.6747002843,30.1832900754,28.3691756272
41.8976640712,40.7041156841,37.4846125324,39.9988876529,39.2204919046,41.7226548016,30.1229761463,28.3297491039
41.0145841058,40.2926708689,37.2850080336,39.5351625263,38.7561488073,40.965146459,30.0748980349,28.2972438512
40.0254603881,39.8191818069,37.0425163762,38.9666295884,38.1512791991,40.0226177234,30.0077864294,28.2528735632
38.7973056483,38.9309108886,36.5470275615,37.9742924237,37.1840316401,38.8151032011,29.8788777654,28.1580768755
37.094055123,38.0304041528,36.0044493882,37.0310221233,36.2068965517,37.1379310345,29.7221604252,28.0477073291
36.0805833642,37.2070201458,35.4752193796,36.1772339637,35.3454455568,36.1064145347,29.5618588555,27.9384501298
35.0960326288,36.4145346681,34.9183042887,35.3625015449,34.5386231615,35.127919911,29.383759733,27.8131256952
34.019033494,34.9330119886,33.8791249537,33.8347546657,32.9747868001,34.0207638116,28.9960449883,27.5403534792
32.1156840934,33.7390928192,32.8843159066,32.7121493017,31.8587319244,32.1528859226,28.5980719318,27.245210728
30.5749598319,31.9928315412,31.525398591,30.9924607589,30.0625386232,31.0054381411,27.9698430355,26.7538005191
29.0863922877,30.3827709801,30.2186379928,29.7142504017,28.8620689655,29.1065381288,27.3050302806,26.2465702633
28.1536274873,29.595105673,29.5702632555,28.9642813002,28.0418984056,28.2080088988,26.8956865653,25.9126189593
27.414411074,28.842541095,28.8908663948,28.0605611173,27.0992460759,27.7250030899,26.4665677914,25.5693980967
26.3836361389,27.4902978618,27.9550117414,27.0725497466,26.1064145347,26.5910270671,25.860462242,25.0593251761
25.5736002966,26.3450747744,27.0334940057,26.1006056112,25.1400321345,25.971449759,25.2546038809,24.5514769497
24.1888518107,25.0968977877,25.7356321839,25.0416512174,24.0839204054,24.2296378692,24.334074898,23.7512050426
23.1439871462,23.6819923372,24.2889630454,23.5879372142,22.7692497837,23.1667284637,23.4631071561,22.975651959
22.1673464343,22.4984550735,23.254727475,22.6220491905,21.7871709307,22.1912000989,22.6795204548,22.2791991101
21.2197503399,21.520084044,22.2591768632,21.8193054011,20.9765171178,21.2495365221,21.8955629712,21.5880608083
19.7513286368,20.1683351872,20.545420838,20.2402669633,19.3313558275,19.8584847361,20.5932517612,20.3705351625
