W/o modifications,DCT denoise stretch 5,DCT denoise stretch 10,Blurring,Sharping,JPEG Transcoding q=1,JPEG Transcoding q=25,JPEG Transcoding q=45
96.9932023236,96.9382029415,96.8085527129,99.9509331356,91.3831417625,96.9505623532,83.9026078359,73.2861203807
96.9893709059,96.9338771474,96.8100358423,99.9463601533,91.3793103448,96.9385737239,83.8981584477,73.2861203807
96.9885057471,96.9368434063,96.8131256952,99.944011865,91.3770856507,96.9341243357,83.8948214065,73.2887158571
96.982078853,96.9353602769,96.8169571128,99.9367198121,91.3726362625,96.9233716475,83.9012483006,73.2872327277
96.971449759,96.9335063651,96.8164627364,99.927079471,91.3691756272,96.901742677,83.8982820418,73.2915585218
96.9374613768,96.9352366827,96.8184402422,99.9035965888,91.3604004449,96.8555184773,83.8930910889,73.2951427512
96.9223828946,96.9347423063,96.8184402422,99.8913607712,91.3591645038,96.8316648128,83.8930910889,73.2910641453
96.8607094302,96.9213941416,96.8151032011,99.8579903597,91.3497713509,96.7718452602,83.8949450006,73.2889630454
96.8079347423,96.9138549005,96.8228896305,99.8243727599,91.3422321098,96.7144975899,83.8835743419,73.2894574218
96.7340254604,96.8925967124,96.823507601,99.7779013719,91.3271536275,96.645902855,83.8780126066,73.2773451984
96.6634532196,96.8714621184,96.8115189717,99.7225312075,91.3103448276,96.5892967495,83.8689902361,73.2757384748
96.6108021258,96.8510690891,96.8048448894,99.671239649,91.2965022865,96.5381287851,83.8639228773,73.2747497219
96.5324434557,96.8094178717,96.7818563836,99.5891731554,91.2669632925,96.4710171796,83.8442714127,73.2677048572
96.4141638858,96.7284637251,96.7390928192,99.4320850328,91.2182672105,96.3653442096,83.8317884069,73.2534915338
96.2794462984,96.6344086022,96.6869361018,99.234705228,91.1506612285,96.2478062044,83.7971820541,73.2395253986
96.1255716228,96.528488444,96.6203188728,99.0231120999,91.0697070819,96.1044370288,83.7646768014,73.2119639105
95.9689778767,96.4166357681,96.5477691262,98.80126066,90.9854158942,95.9516747003,83.7303176369,73.2025707576
95.6005438141,96.1313805463,96.3522432332,98.3019404276,90.7680138425,95.5885551848,83.6287232728,73.1442343344
95.1771103695,95.7802496601,96.1080212582,97.7570139661,90.4849833148,95.1663576814,83.4868372265,73.0710666172
94.436534421,95.1289086639,95.6504758374,96.8757879125,89.9453714003,94.4390063033,83.2087504635,72.9234952416
93.5931281671,94.3799283154,95.0818193054,95.9166975652,89.2840192807,93.5973303671,82.8986528241,72.7499691015
92.9836855766,93.8316648128,94.6729699666,95.2458286986,88.7793845013,92.9955506118,82.6623408726,72.6129032258
92.3039179335,93.2117167223,94.2007168459,94.5355333086,88.1989865282,92.3233222099,82.3864788036,72.4708935855
91.2459522927,92.2131998517,93.442961315,93.4373995798,87.2848844395,91.2799406748,81.9358546533,72.2078853047
90.1230997405,91.1224817699,92.6163638611,92.2858731924,86.2745025337,90.1625262637,81.4362872327,71.9300457298
88.0944259053,89.1074032876,91.0713138055,90.2564577926,84.4205907799,88.1504140403,80.4907922383,71.4182424917
85.9364726239,86.913360524,89.3147942158,88.1233469287,82.4036583859,86.011617847,79.3641082684,70.7786429366
83.6975651959,84.6253862316,87.3733778272,85.9338771474,80.294895563,83.7922382895,78.1622790755,70.1302681992
81.3716475096,82.2445927574,85.2317389692,83.6567791373,78.0711902113,81.477814856,76.8400692127,69.3772092448
76.6471387962,77.4039055741,80.5713756025,79.0608083055,73.4994438265,76.7733283896,73.8833271536,67.7185761958
